Classification,Sequence
non-amyloid,FNKFGG
non-amyloid,FNPQGG
non-amyloid,FNYNNN
amyloid,FQIVYK
non-amyloid,FQKQQK
non-amyloid,FQPQSQ
amyloid,FSINPA
non-amyloid,FSKDWS
non-amyloid,FSNATN
amyloid,FTFIQF
non-amyloid,FTPTEK
amyloid,FTVIIE
amyloid,FVFYIF
non-amyloid,FVNQHL
amyloid,FYLLYY
non-amyloid,FYTPKT
non-amyloid,GAAIGW
non-amyloid,GAAVDQ
non-amyloid,GADVGQ
non-amyloid,GAFSIN
amyloid,GAIIGL
amyloid,GAILSS
amyloid,GAITIG
amyloid,GATVYV
amyloid,GDCFIL
amyloid,GDHCII
amyloid,GDVIEV
non-amyloid,GEATVS
amyloid,GELAVA
non-amyloid,GERGFF
amyloid,GEWTYD
non-amyloid,GFFNLQ
amyloid,GFFQQQ
non-amyloid,GFFYTP
non-amyloid,GFGNNA
non-amyloid,GFGNQS
non-amyloid,GFGNSA
non-amyloid,GFGNSR
non-amyloid,GFNKFG
non-amyloid,GFNNSA
non-amyloid,GFNNTP
non-amyloid,GFPGSF
non-amyloid,GFQPQS
non-amyloid,GFSGSF
non-amyloid,GFSNNN
non-amyloid,GGFGNQ
non-amyloid,GGFNKF
non-amyloid,GGGGNH
non-amyloid,GGGGNN
non-amyloid,GGGMNF
non-amyloid,GGGNGA
non-amyloid,GGGNHG
amyloid,GGGNNS
non-amyloid,GGGNSA
non-amyloid,GGMNFG
non-amyloid,GGNGAA
non-amyloid,GGNGAD
non-amyloid,GGNHGG
non-amyloid,GGNNSG
non-amyloid,GGNSAL
non-amyloid,GGQQQS
non-amyloid,GGRGNY
amyloid,GGVLVN
amyloid,GGVVIA
amyloid,GGYLLG
amyloid,GGYMLG
non-amyloid,GGYQQQ
non-amyloid,GGYQQY
amyloid,GGYVLG
non-amyloid,GGYYQN
amyloid,GIFNIK
non-amyloid,GIIKTN
non-amyloid,GIKLAN
amyloid,GIVIVA
non-amyloid,GKQAYQ
non-amyloid,GKQGYQ
amyloid,GLCYFN
amyloid,GLFINM
non-amyloid,GLLLWQ
amyloid,GLSIFV
non-amyloid,GMFNIQ
non-amyloid,GMLASQ
non-amyloid,GMLASR
amyloid,GMMGML
non-amyloid,GMNFGA
non-amyloid,GMNFGT
non-amyloid,GMSLND
amyloid,GNCFIL
amyloid,GNFNNL
non-amyloid,GNGAAV
non-amyloid,GNGADV
non-amyloid,GNHGGG
non-amyloid,GNNATA
non-amyloid,GNNQQN
non-amyloid,GNNRYQ
non-amyloid,GNNSGP
non-amyloid,GNNSYS
non-amyloid,GNQQQG
non-amyloid,GNQQQG
non-amyloid,GNQSGF
non-amyloid,GNSALA
non-amyloid,GNSATL
amyloid,GNTCVN
amyloid,GNVAVA
amyloid,GNVCIN
non-amyloid,GNYKNF
non-amyloid,GQGSDD
non-amyloid,GQIVYK
non-amyloid,GQNNTQ
non-amyloid,GQQNQY
non-amyloid,GQQQSY
non-amyloid,GQQSYS
non-amyloid,GQSSYS
non-amyloid,GRGNYK
non-amyloid,GRGNYK
non-amyloid,GRIGIA
non-amyloid,GSASNA
non-amyloid,GSGFNG
non-amyloid,GSGSGF
non-amyloid,GSHLVE
amyloid,GSIAAT
non-amyloid,GSNNTF
non-amyloid,GSNSGA
amyloid,GTFFIN
amyloid,GTFFIT
non-amyloid,GTFFQE
amyloid,GTFNII
non-amyloid,GTFSIN
amyloid,GTLFWG
amyloid,GTLVFM
amyloid,GTVIIE
amyloid,GTVLFM
amyloid,GTVWWG
amyloid,GVATVA
non-amyloid,GVFNNQ
amyloid,GVIGIA
amyloid,GVIWIA
non-amyloid,GVNNNN
amyloid,GVNYFL
non-amyloid,GVPGIA
amyloid,GVQVGD
non-amyloid,GVTIIT
non-amyloid,GVVPQY
amyloid,GVVTSE
non-amyloid,GVVVVT
amyloid,GVWWFF
non-amyloid,GWGSAS
amyloid,GYCFIL
amyloid,GYFILQ
amyloid,GYFLNF
amyloid,GYFLNM
non-amyloid,GYGQSS
amyloid,GYMLGS
non-amyloid,GYQAGF
non-amyloid,GYQAYN
non-amyloid,GYQQGG
non-amyloid,GYQQQF
non-amyloid,GYQQQY
non-amyloid,GYQQYN
non-amyloid,GYQQYN
non-amyloid,GYSGYQ
amyloid,GYVIIK
amyloid,GYVLGS
non-amyloid,GYYQNY
non-amyloid,HAFLII
amyloid,HATVYV
amyloid,HFVWIA
amyloid,HGFNQQ
non-amyloid,HGGGGN
non-amyloid,HGGGNG
amyloid,HGWLIM
amyloid,HICNFF
non-amyloid,HIFIIM
amyloid,HIFLLC
non-amyloid,HKALFW
amyloid,HLFNLT
non-amyloid,HLVEAL
amyloid,HLVYIM
non-amyloid,HNNNNN
non-amyloid,HNNNSQ
non-amyloid,HNSVNF
non-amyloid,HNTNNA
non-amyloid,HPAENG
amyloid,HQFNLN
non-amyloid,HQIVYK
amyloid,HQLIIM
amyloid,HSSNNF
non-amyloid,HTAVTT
amyloid,HTFNLL
amyloid,HTVIIE
non-amyloid,HWQNFA
non-amyloid,HWRNFA
amyloid,HYFNIF
amyloid,IATVYV
non-amyloid,ICSLYQ
non-amyloid,IDLTQR
non-amyloid,IEDSVI
non-amyloid,IEKVEH
amyloid,IEMIFV
amyloid,IFDFIQ
non-amyloid,IFNYNN
amyloid,IFQINS
non-amyloid,IGIIKT
non-amyloid,IGNNSI
non-amyloid,IGRTLV
non-amyloid,IGRTLW
non-amyloid,IGWGSA
non-amyloid,IHKAQN
amyloid,IIHFGS
non-amyloid,IINFEQ
amyloid,IINFIT
non-amyloid,IIPFEQ
non-amyloid,IITVTN
non-amyloid,IKLANA
non-amyloid,ILENIS
non-amyloid,ILGSNN
amyloid,ILQINS
amyloid,ILVAGD
amyloid,ILVAGS
non-amyloid,INLYTD
non-amyloid,INNMTN
non-amyloid,INNVSN
non-amyloid,INPAMM
amyloid,IQIMIW
amyloid,IQIVYK
non-amyloid,IQNNSN
non-amyloid,IQRTPK
non-amyloid,IQVYSR
amyloid,ISFLIF
non-amyloid,ISLSGD
non-amyloid,ISMTTS
amyloid,ITLFWG
non-amyloid,ITQHGG
amyloid,ITVIIE
non-amyloid,ITVTND
amyloid,IVATTR
non-amyloid,IVIRTP
non-amyloid,IVIVAT
amyloid,IVYSCE
amyloid,IVYSWE
non-amyloid,IYFNVQ
amyloid,IYQYGG
amyloid,IYQYGG
non-amyloid,KAAIDW
non-amyloid,KAFIIQ
non-amyloid,KAILFL
amyloid,KAKEGV
amyloid,KATVYV
amyloid,KCLNYL
amyloid,KCWCFT
amyloid,KDWSFY
non-amyloid,KECLIN
non-amyloid,KEEEKS
non-amyloid,KEEKPV
non-amyloid,KEEKSE
non-amyloid,KENIIF
non-amyloid,KEPTRE
non-amyloid,KGENFT
amyloid,KHIIVA
amyloid,KIVKWD
non-amyloid,KKEEEK
non-amyloid,KKEEKP
non-amyloid,KKEEKS
non-amyloid,KKTLKL
non-amyloid,KKVDTK
non-amyloid,KLANAT
amyloid,KLFIIQ
amyloid,KLFIQF
non-amyloid,KLLEIA
amyloid,KLLIYE
amyloid,KLVFFA
non-amyloid,KLVSSS
non-amyloid,KMFFIQ
amyloid,KNEEGA
amyloid,KNFNYN
non-amyloid,KNFNYN
non-amyloid,KPAESD
non-amyloid,KPKKTL
non-amyloid,KPVQTE
non-amyloid,KQAAPK
non-amyloid,KQFGGG
amyloid,KQIGII
amyloid,KQIVYK
non-amyloid,KQQKQA
non-amyloid,KSAETK
non-amyloid,KSELPK
non-amyloid,KSNFLN
amyloid,KTKEGV
amyloid,KTKEQV
amyloid,KTKQGV
non-amyloid,KTLKLV
amyloid,KTVEGA
amyloid,KTVIIE
non-amyloid,KTVIIT
non-amyloid,KTVIVE
non-amyloid,KTVIYE
non-amyloid,KTVLIE
non-amyloid,KVDTKP
non-amyloid,KVEDLK
non-amyloid,KVEEPV
non-amyloid,KVEHSD
amyloid,KVQIIN
non-amyloid,KWDRDM
non-amyloid,KYLNWD
non-amyloid,KYNNTG
amyloid,LAAVYV
amyloid,LACVYV
non-amyloid,LADVYV
non-amyloid,LAEAIG
non-amyloid,LAEVYV
amyloid,LAFVYV
amyloid,LAGVYV
amyloid,LAHVYV
amyloid,LAIVYV
non-amyloid,LAKVYV
non-amyloid,LALQTD
amyloid,LALVYV
amyloid,LAMVYV
non-amyloid,LANATK
amyloid,LANFLV
amyloid,LANVYV
non-amyloid,LAPVYV
amyloid,LAQVYV
non-amyloid,LARVYV
non-amyloid,LASQQN
non-amyloid,LASRQN
amyloid,LASVYV
non-amyloid,LATAYV
amyloid,LATCYV
non-amyloid,LATDYV
non-amyloid,LATEYV
amyloid,LATFYV
non-amyloid,LATGYV
non-amyloid,LATHYV
amyloid,LATIYV
non-amyloid,LATKYV
amyloid,LATLYV
amyloid,LATMYV
non-amyloid,LATNYV
non-amyloid,LATPYV
non-amyloid,LATQYV
non-amyloid,LATRYV
non-amyloid,LATSYV
non-amyloid,LATTYV
amyloid,LATVAV
amyloid,LATVCV
amyloid,LATVDV
amyloid,LATVEV
amyloid,LATVFV
amyloid,LATVGV
amyloid,LATVHV
amyloid,LATVIV
amyloid,LATVKV
amyloid,LATVLV
amyloid,LATVMV
amyloid,LATVNV
amyloid,LATVPV
amyloid,LATVQV
amyloid,LATVRV
amyloid,LATVSV
amyloid,LATVTV
amyloid,LATVVV
amyloid,LATVWV
non-amyloid,LATVYA
amyloid,LATVYC
non-amyloid,LATVYD
amyloid,LATVYE
amyloid,LATVYF
non-amyloid,LATVYG
non-amyloid,LATVYH
amyloid,LATVYI
non-amyloid,LATVYK
non-amyloid,LATVYL
amyloid,LATVYM
amyloid,LATVYN
non-amyloid,LATVYP
non-amyloid,LATVYQ
non-amyloid,LATVYR
non-amyloid,LATVYS
non-amyloid,LATVYT
amyloid,LATVYV
amyloid,LATVYW
amyloid,LATVYY
non-amyloid,LATWYV
amyloid,LATYYV
amyloid,LAVAGD
amyloid,LAVLFL
amyloid,LAVVYV
amyloid,LAWVYV
amyloid,LAYVYV
amyloid,LCTVYV
non-amyloid,LDGFSR
non-amyloid,LDGSSR
non-amyloid,LDQWNG
non-amyloid,LDTVYV
amyloid,LEFWLQ
non-amyloid,LETVYV
non-amyloid,LFMFND
non-amyloid,LFMSND
non-amyloid,LFNNST
amyloid,LFTVYV
non-amyloid,LGNNSN
amyloid,LGTVYV
amyloid,LHTVYV
non-amyloid,LIAGFN
amyloid,LIFLIV
non-amyloid,LINNSV
amyloid,LITVYV
amyloid,LIVAAD
amyloid,LIVAGD
amyloid,LIVAGE
amyloid,LIVAGK
amyloid,LIVAGS
amyloid,LIVAGT
non-amyloid,LKLVSS
non-amyloid,LKNGER
non-amyloid,LKTVYV
amyloid,LKVKVL
amyloid,LLAVVA
non-amyloid,LLFCHI
non-amyloid,LLFYHI
non-amyloid,LLGPTI
non-amyloid,LLNKTN
amyloid,LLTVYV
non-amyloid,LLVPTI
amyloid,LLYYTE
non-amyloid,LMNTTN
non-amyloid,LMSLFG
amyloid,LMTVYV
non-amyloid,LNDFQK
amyloid,LNIYQY
amyloid,LNIYQY
non-amyloid,LNNITA
amyloid,LNTVYV
non-amyloid,LPKVED
amyloid,LPTVYV
non-amyloid,LQGYQA
amyloid,LQIVYK
non-amyloid,LQNVSN
non-amyloid,LQSSWG
non-amyloid,LQTDAR
amyloid,LQTVYV
non-amyloid,LRTVYV
amyloid,LSFSKD
non-amyloid,LSGDHC
non-amyloid,LSQPKI
amyloid,LSTVYV
non-amyloid,LTFIQV
non-amyloid,LTITQH
non-amyloid,LTQRGF
amyloid,LTTVYV
amyloid,LTVIIE
amyloid,LVEALY
amyloid,LVFYQQ
amyloid,LVHSSN
non-amyloid,LVSSSG
amyloid,LVTVYV
amyloid,LWTVYV
amyloid,LYQLEN
amyloid,LYTVYV
amyloid,LYVLIV
non-amyloid,MAAAQA
amyloid,MATVYV
amyloid,MCSIFQ
non-amyloid,MERLRI
non-amyloid,MEWLRI
non-amyloid,MGGGMN
non-amyloid,MGMLAS
non-amyloid,MGNNTV
amyloid,MHVNIQ
amyloid,MIENIQ
amyloid,MIHFGN
non-amyloid,MINLYT
non-amyloid,MLASQQ
non-amyloid,MLASRQ
amyloid,MLVLFV
non-amyloid,MMAAAQ
non-amyloid,MMGMLA
amyloid,MMHFGN
non-amyloid,MNFGAF
non-amyloid,MNFGTF
amyloid,MQIVYK
non-amyloid,MSDSNQ
non-amyloid,MSLNDF
amyloid,MTFIQN
amyloid,MTVIIE
non-amyloid,MTVKQF
amyloid,MVGGVV
non-amyloid,MYFFIF
non-amyloid,MYWIIF
non-amyloid,NAGSGS
non-amyloid,NANASS
non-amyloid,NANTSN
non-amyloid,NAQAQP
non-amyloid,NATAHQ
non-amyloid,NATKKV
amyloid,NATVYV
non-amyloid,NDFQKQ
non-amyloid,NDNNNN
non-amyloid,NDNNSN
non-amyloid,NENGNA
non-amyloid,NFFIQS
non-amyloid,NFFWLL
non-amyloid,NFGAFS
amyloid,NFGAIL
amyloid,NFGEFS
amyloid,NFGSVQ
non-amyloid,NFGTFS
amyloid,NFLVHS
non-amyloid,NFNNGN
non-amyloid,NFNYNN
amyloid,NFVNYS
non-amyloid,NGAAVD
non-amyloid,NGADVG
non-amyloid,NGERIE
non-amyloid,NGIVIV
non-amyloid,NGKSNF
non-amyloid,NGNLSN
non-amyloid,NGNLTS
non-amyloid,NGNNSN
non-amyloid,NGNQNR
non-amyloid,NGNQQQ
amyloid,NHFCIQ
non-amyloid,NHGGGG
amyloid,NHVTLS
non-amyloid,NIDQSF
amyloid,NIFNFT
amyloid,NIFNIT
amyloid,NIFWVQ
non-amyloid,NIGNNS
non-amyloid,NIGQSF
amyloid,NINFFT
amyloid,NINFIT
non-amyloid,NININV
amyloid,NINKSN
non-amyloid,NINNNN
non-amyloid,NINNSI
non-amyloid,NINNST
non-amyloid,NIQYQF
non-amyloid,NISNNN
non-amyloid,NIVLIM
non-amyloid,NIYQYG
non-amyloid,NKFGGP
amyloid,NKGAII
amyloid,NLFYQL
non-amyloid,NLGPVL
non-amyloid,NLQGYQ
non-amyloid,NLYTDR
non-amyloid,NMGGGM
non-amyloid,NMNMNL
non-amyloid,NNATAH
non-amyloid,NNGGNN
non-amyloid,NNLQGY
non-amyloid,NNNGNQ
non-amyloid,NNNISN
non-amyloid,NNNISV
non-amyloid,NNNKNN
non-amyloid,NNNLQG
non-amyloid,NNNNNE
non-amyloid,NNNNSN
non-amyloid,NNNNTN
non-amyloid,NNNRGG
non-amyloid,NNNSSS
amyloid,NNNWSL
amyloid,NNQNTF
amyloid,NNQQNY
non-amyloid,NNRYQG
amyloid,NNSGPN
non-amyloid,NNSYSG
non-amyloid,NNTIFV
non-amyloid,NPAMMA
non-amyloid,NPDAGY
non-amyloid,NPQGGR
non-amyloid,NPQGGY
amyloid,NQFIIS
amyloid,NQFNLM
non-amyloid,NQGNNQ
non-amyloid,NQGYNT
amyloid,NQIVYK
non-amyloid,NQNMNN
amyloid,NQNNFV
amyloid,NQQNQY
non-amyloid,NQQNYQ
non-amyloid,NQQQGN
non-amyloid,NQSCPS
non-amyloid,NQSGFG
non-amyloid,NQYNSS
non-amyloid,NRYQGY
non-amyloid,NSALAL
non-amyloid,NSATLD
non-amyloid,NSGAAI
non-amyloid,NSNINQ
non-amyloid,NSNLTA
non-amyloid,NSNNSN
non-amyloid,NSNSSN
non-amyloid,NSNTNT
non-amyloid,NSNTTK
non-amyloid,NSNYTQ
non-amyloid,NSSFNG
non-amyloid,NSYSGS
non-amyloid,NTIFVQ
non-amyloid,NTNNTS
amyloid,NTVIIE
non-amyloid,NVAMHV
non-amyloid,NVAVHV
non-amyloid,NVNFSN
non-amyloid,NVTQVG
amyloid,NYCNFV
non-amyloid,NYFAIR
non-amyloid,NYKNFN
non-amyloid,NYNNNL
non-amyloid,NYNNSG
non-amyloid,NYNNSS
non-amyloid,NYNTYR
non-amyloid,NYQGYS
non-amyloid,NYQQYS
amyloid,NYVWIV
non-amyloid,PAESDK
non-amyloid,PAGGYY
non-amyloid,PAMMAA
non-amyloid,PATVYV
non-amyloid,PDAGYQ
non-amyloid,PGGFGN
non-amyloid,PKIQVY
non-amyloid,PKKTLK
non-amyloid,PKPKKT
non-amyloid,PKVEDL
non-amyloid,PMINLY
non-amyloid,PNGITL
non-amyloid,PNSANS
non-amyloid,PNVITL
non-amyloid,PQGGRG
non-amyloid,PQGGYQ
non-amyloid,PQIVYK
non-amyloid,PQSQGM
non-amyloid,PQYGGG
non-amyloid,PSDIEV
non-amyloid,PSGNNQ
non-amyloid,PTEKDE
non-amyloid,PTKVEE
non-amyloid,PTRCCP
non-amyloid,PTREPT
non-amyloid,PTVIIE
non-amyloid,PVKKEE
non-amyloid,PVQTEE
non-amyloid,PYGQQS
non-amyloid,QAALQS
non-amyloid,QAAPKP
non-amyloid,QAGFQP
amyloid,QANKHI
non-amyloid,QAQNQW
non-amyloid,QAQPAG
amyloid,QATVYV
non-amyloid,QAYNAQ
amyloid,QEMRHF
amyloid,QFFLQF
non-amyloid,QFGGGN
non-amyloid,QFNPQG
non-amyloid,QGFNNQ
non-amyloid,QGGRGN
non-amyloid,QGGYQQ
non-amyloid,QGMSLN
non-amyloid,QGNNQQ
non-amyloid,QGNNRY
amyloid,QGVCFR
non-amyloid,QGYQAG
non-amyloid,QGYQAY
non-amyloid,QGYSGY
non-amyloid,QHGGGN
non-amyloid,QIGIIK
amyloid,QILLWS
non-amyloid,QKQAAP
non-amyloid,QKQQKQ
amyloid,QLENYC
amyloid,QLFINF
non-amyloid,QLFINN
amyloid,QLFLQI
non-amyloid,QNGNQQ
amyloid,QNLLWQ
non-amyloid,QNQSCP
non-amyloid,QNQSGP
non-amyloid,QNQYNS
non-amyloid,QNSLNM
non-amyloid,QNYQGY
non-amyloid,QNYQQY
non-amyloid,QPAGGY
non-amyloid,QPKIVK
non-amyloid,QPMINL
non-amyloid,QPQSQG
non-amyloid,QQFNPQ
non-amyloid,QQGGYQ
non-amyloid,QQGNNR
amyloid,QQIVYK
non-amyloid,QQKQAA
non-amyloid,QQNQSC
non-amyloid,QQNQSG
non-amyloid,QQNQYN
non-amyloid,QQNTSF
non-amyloid,QQNYQQ
non-amyloid,QQNYSK
non-amyloid,QQQFNP
non-amyloid,QQQGNN
non-amyloid,QQQSYG
non-amyloid,QQQSYN
non-amyloid,QQQYNP
amyloid,QQSLFQ
non-amyloid,QQSYGQ
non-amyloid,QQSYNP
non-amyloid,QQSYSG
non-amyloid,QQYNPD
non-amyloid,QQYNPQ
non-amyloid,QQYSQN
non-amyloid,QRGFGN
non-amyloid,QSCPSG
non-amyloid,QSGFGN
non-amyloid,QSQGMS
non-amyloid,QSSWGM
non-amyloid,QSSYSS
non-amyloid,QSYGQQ
non-amyloid,QSYNPP
non-amyloid,QSYSGY
non-amyloid,QTDARN
non-amyloid,QTEEKK
amyloid,QTFLVN
non-amyloid,QTFNLF
non-amyloid,QTNLYG
amyloid,QTVIIE
non-amyloid,QVGFGN
non-amyloid,QVVHIG
non-amyloid,QVVPIG
non-amyloid,QWNGKN
amyloid,QYFEQF
non-amyloid,QYGGGG
non-amyloid,QYGGGN
amyloid,QYGGNA
amyloid,QYGGNN
non-amyloid,QYNNSN
non-amyloid,QYNPDA
non-amyloid,QYNPQG
non-amyloid,QYSQNG
amyloid,RATVYV
non-amyloid,REPTKV
non-amyloid,RETWFF
non-amyloid,RGFFYT
non-amyloid,RGFGNS
non-amyloid,RGGFNK
non-amyloid,RGNYKN
non-amyloid,RIGIAQ
non-amyloid,RLSNNI
non-amyloid,RLVFID
non-amyloid,RMFNII
non-amyloid,RNLTKD
non-amyloid,RQFNQT
non-amyloid,RQIVYK
non-amyloid,RQNQSG
amyloid,RQVLIF
non-amyloid,RTPKIQ
amyloid,RTVIIE
non-amyloid,RVAFFE
amyloid,RVFNIM
non-amyloid,RVNHVT
non-amyloid,RVNNNA
non-amyloid,RYQGYQ
non-amyloid,SAETKE
amyloid,SALALQ
non-amyloid,SASNAG
non-amyloid,SATLDQ
amyloid,SATVYV
amyloid,SAVIIE
non-amyloid,SCNNNN
non-amyloid,SCPSGN
non-amyloid,SDKKEE
non-amyloid,SDLSFS
non-amyloid,SDLTIT
non-amyloid,SDNNTI
non-amyloid,SDSNQG
amyloid,SDVIIE
amyloid,SELNIY
non-amyloid,SELPKV
non-amyloid,SEMTVK
amyloid,SEVIIE
amyloid,SFFFIQ
amyloid,SFLIFL
amyloid,SFQIYA
amyloid,SFVIIE
non-amyloid,SGAAIG
non-amyloid,SGDHCI
non-amyloid,SGFGNS
non-amyloid,SGFHPS
non-amyloid,SGIKLA
non-amyloid,SGSGFN
non-amyloid,SGSNSG
amyloid,SGVIIE
non-amyloid,SGYQQG
non-amyloid,SHLVEA
non-amyloid,SHVIIE
non-amyloid,SIDLTQ
non-amyloid,SIEDSV
non-amyloid,SINPAM
amyloid,SIVIIE
non-amyloid,SKVIIE
non-amyloid,SLNDFQ
non-amyloid,SLSGDH
amyloid,SLVIIE
non-amyloid,SLYQLE
amyloid,SMVIIE
amyloid,SMVLFS
non-amyloid,SNAGSG
non-amyloid,SNGIVI
non-amyloid,SNMGGG
non-amyloid,SNNFGA
non-amyloid,SNNSNI
non-amyloid,SNQGNN
amyloid,SNQNNF
non-amyloid,SNSGAA
non-amyloid,SNTNNT
amyloid,SNVIIE
non-amyloid,SPVIIE
amyloid,SQAIIH
amyloid,SQFYIT
non-amyloid,SQGMSL
amyloid,SQIVYK
non-amyloid,SQNGNQ
non-amyloid,SQQNQS
amyloid,SQVIIE
non-amyloid,SRHPAE
non-amyloid,SRQNQS
non-amyloid,SRVIIE
non-amyloid,SSGIKL
non-amyloid,SSIDLT
amyloid,SSNNFG
non-amyloid,SSNNNS
amyloid,SSQVTQ
non-amyloid,SSSGIK
amyloid,SSTNVG
amyloid,SSTSAA
amyloid,SSVIIE
non-amyloid,SSVNVT
non-amyloid,SSWGMM
non-amyloid,SSYSSY
non-amyloid,STADWE
non-amyloid,STAIIE
non-amyloid,STDIIE
amyloid,STEIIE
amyloid,STFIFE
amyloid,STFIIE
amyloid,STFLIE
amyloid,STFTFE
non-amyloid,STFTIE
non-amyloid,STGIIE
non-amyloid,STHIIE
non-amyloid,STIIIE
non-amyloid,STKIIE
non-amyloid,STLIFE
amyloid,STLIIE
non-amyloid,STLIYE
non-amyloid,STLLIE
non-amyloid,STLLYE
non-amyloid,STLTFE
non-amyloid,STLTIE
non-amyloid,STMIIE
amyloid,STMSIT
non-amyloid,STNIFE
amyloid,STNIIE
non-amyloid,STNIYE
non-amyloid,STNNTN
non-amyloid,STNSNT
non-amyloid,STNTFE
non-amyloid,STNTIE
non-amyloid,STPIIE
non-amyloid,STQIFE
amyloid,STQIIE
non-amyloid,STQIYE
non-amyloid,STRIIE
amyloid,STSIIE
non-amyloid,STTIIE
non-amyloid,STTVVT
non-amyloid,STVAIE
non-amyloid,STVDIE
amyloid,STVEIE
amyloid,STVFIE
non-amyloid,STVGIE
non-amyloid,STVHIE
non-amyloid,STVIAE
non-amyloid,STVIDE
non-amyloid,STVIEE
amyloid,STVIFE
non-amyloid,STVIGE
non-amyloid,STVIHE
amyloid,STVIIA
amyloid,STVIID
